Local time,Open,High,Low,Close,Volume
16.05.2022 23:30:00.000 GMT+0430,32435.717,32463.279,32174.199,32242.727,4.4254
17.05.2022 00:30:00.000 GMT+0430,32242.239,32247.289,32187.279,32213.799,0.4867
17.05.2022 01:30:00.000 GMT+0430,32213.799,32213.799,32213.799,32213.799,0
17.05.2022 02:30:00.000 GMT+0430,32190.219,32231.499,32190.219,32218.259,0.1029
17.05.2022 03:30:00.000 GMT+0430,32218.719,32242.499,32191.789,32237.749,0.1161
17.05.2022 04:30:00.000 GMT+0430,32237.767,32307.789,32201.249,32259.267,0.2982
17.05.2022 05:30:00.000 GMT+0430,32258.789,32335.269,32247.279,32330.739,0.3175
17.05.2022 06:30:00.000 GMT+0430,32331.239,32331.999,32261.789,32270.999,0.2349
17.05.2022 07:30:00.000 GMT+0430,32274.719,32299.269,32263.789,32285.769,0.1791
17.05.2022 08:30:00.000 GMT+0430,32286.219,32313.247,32285.199,32300.769,0.1442
17.05.2022 09:30:00.000 GMT+0430,32300.739,32345.279,32289.729,32332.749,0.1692
17.05.2022 10:30:00.000 GMT+0430,32336.769,32359.739,32314.289,32359.739,0.1513
17.05.2022 11:30:00.000 GMT+0430,32359.749,32454.079,32330.059,32427.599,0.3344
17.05.2022 12:30:00.000 GMT+0430,32428.029,32625.099,32421.059,32548.019,0.3455
17.05.2022 13:30:00.000 GMT+0430,32549.039,32655.087,32543.009,32645.539,0.3031
17.05.2022 14:30:00.000 GMT+0430,32645.507,32753.299,32642.079,32668.019,0.2998
17.05.2022 15:30:00.000 GMT+0430,32668.499,32674.547,32580.549,32585.529,1.8144
17.05.2022 16:30:00.000 GMT+0430,32586.049,32642.599,32542.049,32621.999,2.1444
17.05.2022 17:30:00.000 GMT+0430,32625.509,32663.779,32451.779,32535.209,3.6482
17.05.2022 18:30:00.000 GMT+0430,32537.269,32591.279,32304.269,32384.799,4.7626
17.05.2022 19:30:00.000 GMT+0430,32384.707,32502.259,32362.269,32454.289,3.9182
17.05.2022 20:30:00.000 GMT+0430,32454.729,32585.219,32382.719,32550.769,3.7397
17.05.2022 21:30:00.000 GMT+0430,32552.249,32614.269,32497.699,32550.789,3.4293
17.05.2022 22:30:00.000 GMT+0430,32550.717,32646.497,32348.229,32615.699,5.4813
